batter,runs,balls,fours,sixes,strike_rate,dismissal
Ajinkya Rahane,1,3,0,0,33.33,c Rahul b Matt Henry
Ruturaj Gaikwad,108,60,12,3,180.0,not out
Daryl Mitchell,11,10,1,0,110.0,c Deepak Hooda b Yash Thakur
Ravindra Jadeja,16,19,2,0,84.21,c Rahul b Mohsin Khan
Shivam Dube,66,27,3,7,244.44,run out (de Kock/Stoinis)
Dhoni,4,1,1,0,400.0,not out
