batter,runs,balls,fours,sixes,strike_rate,dismissal
Salt,5,3,1,0,166.67,c Tilak Varma b N Thushara
Narine,8,8,0,1,100.0,b Hardik Pandya
Angkrish Raghuvanshi,13,6,0,2,216.67,c Suryakumar Yadav b N Thushara
Shreyas Iyer,6,4,1,0,150.0,c Tim David b N Thushara
Venkatesh Iyer,70,52,6,3,134.62,b Bumrah
Rinku Singh,9,8,2,0,112.5,c and b Chawla
Manish Pandey,42,31,2,2,135.48,c (sub)Dewald Brevis b Hardik Pandya
Russell,7,2,0,1,350.0,run out (N Thushara/Hardik Pandya)
Ramandeep Singh,2,4,0,0,50.0,c Gerald Coetzee b Bumrah
Starc,0,2,0,0,0.0,b Bumrah
