bowler,overs,maidens,runs,wickets,economy
D Chahar,4,0,32,2,8.0
Sam Curran,4,0,28,1,7.0
Lungi Ngidi,4,0,38,3,9.5
Chawla,4,0,21,1,5.2
Ravindra Jadeja,4,0,42,2,10.5
